Age,Gender,Height_cm,Weight_kg,BMI,Workout_Type,Workout_Duration_min,Heart_Rate_avg,Intensity_Level,Diet_Type,Sleep_Hours,Hydration_Liters,Workout_Frequency,Calories_Burned_encoded
24.0,0,177.0,68.0,21.63,2,99.0,80.0,0,2,6.6,2.9,3.0,2
26.0,0,177.0,77.0,33.79,2,95.0,71.0,0,2,5.4,2.8,5.0,0
85.0,0,160.0,77.0,19.03,2,77.0,80.0,0,1,8.4,2.5,3.0,2
18.0,0,172.0,68.0,26.13,2,104.0,78.0,2,2,4.5,0.6,6.0,2
61.0,0,174.0,69.0,23.67,0,78.0,64.0,2,2,5.0,1.5,3.62,0
25.0,1,151.0,62.0,29.47,0,43.0,83.0,2,2,8.9,2.2,3.0,2
41.0,0,157.0,92.0,32.35,2,47.0,89.0,1,2,4.7,0.6,5.0,2
28.0,0,158.0,60.0,24.45,2,56.0,67.0,2,1,8.4,1.1,1.0,1
34.0,1,176.0,97.0,25.54,0,40.0,61.0,2,0,7.5,2.7,2.0,0
25.0,0,152.0,64.0,34.7,2,52.0,93.0,2,2,4.4,0.8,3.0,0
52.0,0,151.0,66.0,31.43,2,21.0,82.0,1,2,6.4,1.84,2.0,2
52.0,0,156.0,103.0,33.3,2,102.0,62.0,2,2,6.6,2.0,2.0,2
50.0,0,154.0,99.0,25.74,0,47.0,83.0,2,0,8.7,2.9,6.0,2
22.0,0,170.0,77.0,22.36,0,72.2,77.0,1,2,6.1,2.6,6.0,2
59.0,0,175.0,53.0,25.3,2,72.2,96.0,2,0,6.2,2.9,1.0,2
56.0,0,154.0,71.0,30.32,2,47.0,90.0,2,2,4.6,2.4,5.0,1
58.0,0,169.0,88.0,20.31,2,69.0,73.0,0,0,7.2,1.84,4.0,2
45.0,0,162.0,85.13,22.96,0,54.0,80.0,2,2,5.1,2.9,4.0,2
24.0,0,170.0,93.0,19.27,0,115.0,73.0,2,2,4.4,1.6,4.0,2
26.0,0,178.0,91.0,25.63,2,47.0,64.0,2,2,9.0,1.4,5.0,1
25.0,0,169.0,89.0,32.15,0,28.0,90.0,0,2,5.3,1.6,6.0,1
29.0,0,178.0,61.0,18.91,2,43.0,90.0,0,2,4.7,2.5,3.62,0
85.0,1,155.0,51.0,29.64,1,72.2,89.0,2,2,7.5,2.8,5.0,2
50.0,0,169.0,77.0,33.89,2,23.0,95.0,2,0,8.1,1.4,3.0,2
40.0,0,167.0,116.0,22.41,1,72.2,60.0,1,2,4.3,1.7,2.0,2
41.0,0,174.0,59.0,29.94,2,60.0,62.0,0,1,4.5,2.7,5.0,2
54.0,1,151.0,106.0,34.59,2,86.0,79.0,2,0,6.6,0.6,5.0,2
52.0,0,174.0,86.0,34.38,1,67.0,80.0,2,2,4.2,2.5,3.0,0
61.0,0,175.0,113.0,22.38,0,105.0,80.0,2,2,7.3,1.6,2.0,2
57.0,0,155.0,89.0,20.16,2,77.0,89.0,2,0,11.3,1.4,6.0,0
41.77,1,158.0,109.0,20.95,0,58.0,64.0,2,1,7.3,1.6,6.0,2
44.0,0,174.0,97.0,30.08,2,44.0,69.0,2,2,6.5,1.84,4.0,2
52.0,0,152.0,68.0,30.48,2,79.0,83.0,0,2,8.1,2.4,1.0,1
18.0,0,150.0,82.0,29.62,0,105.0,98.0,2,2,6.7,2.8,5.0,0
52.0,0,150.0,93.0,24.05,0,66.0,65.0,0,2,8.6,1.7,5.0,1
54.0,1,168.0,85.13,21.3,0,117.0,69.0,0,2,6.4,2.6,1.0,0
64.0,0,154.0,85.0,28.08,2,80.0,69.0,1,2,8.0,2.3,5.0,0
31.0,0,162.0,70.0,26.48,0,103.0,84.0,2,0,6.0,1.3,6.0,1
20.0,0,168.0,51.0,30.53,2,119.0,73.0,2,2,6.2,1.84,5.0,0
18.0,0,165.54,80.0,25.78,0,46.0,98.0,2,2,6.6,2.2,5.0,2
22.0,0,165.54,79.0,24.09,2,115.0,80.0,2,2,4.5,0.6,1.0,0
43.0,0,174.0,93.0,23.34,1,61.0,70.0,2,2,6.8,1.5,6.0,2
31.0,1,165.54,85.13,21.99,2,71.0,98.0,1,1,7.6,3.0,3.0,2
56.0,1,168.0,100.0,22.88,1,112.0,70.0,2,2,7.8,2.1,3.0,2
44.0,0,152.0,98.0,20.06,2,67.0,75.0,0,2,7.0,1.3,1.0,1
26.0,0,161.0,73.0,24.22,0,51.0,92.0,2,0,6.2,1.84,3.62,2
32.0,0,179.0,73.0,19.1,2,43.0,91.0,0,0,5.3,1.0,4.0,2
41.77,1,154.0,109.0,21.58,0,22.0,69.0,1,1,8.5,1.5,4.0,0
41.77,0,151.0,60.0,30.82,2,72.2,74.0,2,2,5.8,1.0,6.0,2
59.0,0,171.0,62.0,23.87,0,92.0,75.0,0,0,8.0,0.8,1.0,2
30.0,1,156.0,113.0,27.55,1,59.0,86.0,2,2,4.2,1.4,2.0,1
49.0,0,162.0,69.0,30.33,1,72.2,91.0,1,0,5.2,2.0,6.0,1
56.0,0,174.0,77.0,28.09,2,26.0,65.0,2,2,5.7,0.9,5.0,2
49.0,0,164.0,51.0,34.32,2,100.0,95.0,2,2,7.4,0.6,2.0,2
21.0,1,171.0,92.0,18.85,2,56.0,67.0,2,2,5.6,0.6,5.0,2
47.0,0,152.0,57.0,30.69,2,26.0,84.0,1,2,6.6,1.2,6.0,1
54.0,0,177.0,62.0,34.32,0,113.0,66.0,2,1,4.9,1.0,3.0,2
40.0,1,170.0,84.0,32.73,2,96.0,76.0,2,2,5.3,1.8,3.0,0
41.77,1,169.0,72.0,21.27,0,101.0,89.0,2,0,4.9,1.6,3.62,2
62.0,0,154.0,95.0,23.89,0,164.5,61.0,0,2,6.6,1.3,2.0,0
32.0,0,173.0,64.0,21.35,2,41.0,80.0,2,2,7.8,2.6,1.0,2
60.0,1,157.0,51.0,28.42,2,97.0,63.0,0,2,6.1,1.8,5.0,0
46.0,1,171.0,110.0,30.25,2,72.2,85.0,1,0,6.0,0.7,3.0,2
53.0,0,165.54,113.0,23.73,2,118.0,73.0,2,2,8.8,1.2,6.0,2
30.0,0,157.0,101.0,27.4,1,36.0,67.0,2,1,6.2,2.9,5.0,2
49.0,0,173.0,85.0,29.9,0,38.0,64.0,1,0,6.6,2.9,1.0,1
24.0,0,167.0,116.0,25.45,2,114.0,64.0,1,2,5.5,1.1,5.0,2
39.0,0,169.0,118.0,32.59,0,58.0,64.0,0,2,6.0,0.9,4.0,2
45.0,1,177.0,116.0,31.23,2,55.0,86.0,2,0,6.0,1.7,1.0,0
19.0,1,165.0,96.0,19.57,0,34.0,64.0,0,2,6.7,1.7,1.0,1
59.0,0,167.0,51.0,28.75,0,82.0,80.0,2,0,6.9,1.5,5.0,2
62.0,0,169.0,93.0,22.38,1,48.0,97.0,2,2,5.2,1.8,5.0,1
23.0,1,161.0,113.0,27.7,1,79.0,89.0,2,0,8.0,1.1,3.0,2
45.0,0,162.0,77.0,34.29,2,75.0,60.0,2,2,6.5,0.8,3.62,2
45.0,0,162.0,103.0,33.0,2,59.0,67.0,1,2,6.6,1.9,1.0,0
61.0,0,159.0,116.0,25.17,2,35.0,72.0,2,2,7.0,2.8,6.0,2
61.0,1,156.0,85.0,27.55,0,52.0,79.0,0,1,8.0,0.8,5.0,2
37.0,1,174.0,112.0,22.37,0,108.0,65.0,2,0,5.3,2.3,6.0,0
47.0,0,163.0,74.0,27.55,2,35.0,67.0,2,0,4.2,1.6,6.0,0
28.0,1,179.0,97.0,20.39,1,49.0,89.0,0,2,8.0,1.2,3.62,2
41.77,0,173.0,88.0,27.56,2,117.0,80.0,2,2,8.9,2.6,2.0,0
42.0,0,165.0,96.0,18.52,0,85.0,74.0,2,0,4.4,1.6,6.0,2
56.0,0,164.0,70.0,23.84,0,63.0,69.0,1,1,8.7,2.0,4.0,2
50.0,0,161.0,79.0,22.13,2,57.0,92.0,2,2,5.8,1.6,3.62,0
18.0,0,158.0,80.0,34.53,2,70.0,68.0,2,2,8.7,0.7,1.0,0
44.0,0,157.0,75.0,30.5,0,79.0,80.0,0,2,7.2,2.0,3.0,2
30.0,1,167.0,71.0,24.27,2,37.0,80.0,1,2,8.5,1.5,4.0,2
58.0,0,172.0,70.0,20.03,2,72.2,73.0,2,1,6.6,0.7,5.0,2
20.0,0,165.54,50.0,27.03,0,59.0,91.0,1,2,4.1,2.0,6.0,0
56.0,0,162.0,86.0,22.02,2,25.0,96.0,2,2,4.3,0.5,5.0,2
23.0,0,177.0,95.0,27.35,2,95.0,65.0,0,2,6.6,1.0,2.0,2
25.0,0,176.0,58.0,32.28,1,164.5,64.0,2,2,4.6,2.5,5.0,2
44.0,0,167.0,66.0,28.66,2,31.0,63.0,2,2,6.3,0.6,4.0,1
26.0,0,164.0,96.0,28.96,2,92.0,75.0,1,0,8.8,1.84,3.0,2
54.0,0,153.0,108.0,27.43,2,41.0,69.0,1,0,5.5,2.9,2.0,2
50.0,1,166.0,103.0,33.8,2,72.2,90.0,0,2,6.4,0.9,4.0,1
41.77,0,154.0,61.0,33.88,1,69.0,90.0,2,2,5.9,1.5,3.0,1
61.0,1,171.0,113.0,26.96,2,99.0,73.0,1,2,7.1,1.9,4.0,2
41.0,0,165.0,55.0,23.55,2,23.0,72.0,1,0,5.0,1.6,3.62,0
32.0,0,158.0,102.0,26.08,2,69.0,80.0,2,2,5.3,2.1,4.0,0
49.0,1,159.0,65.0,21.58,2,22.0,85.0,2,1,8.3,1.5,2.0,2
41.77,0,173.0,54.0,29.0,2,35.0,83.0,2,2,8.1,0.9,4.0,1
41.0,0,165.54,85.13,26.75,2,33.0,68.0,2,2,7.9,0.7,1.0,2
58.0,0,166.0,63.0,42.57,1,83.0,80.0,2,0,7.9,2.4,5.0,1
29.0,0,167.0,93.0,21.76,2,60.0,74.0,1,1,6.3,1.1,4.0,2
56.0,0,156.0,112.0,26.41,2,87.0,83.0,0,0,7.6,2.6,3.0,1
19.0,1,153.0,101.0,33.15,1,78.0,90.0,2,0,5.9,2.4,5.0,2
20.0,0,175.0,150.5,27.85,1,21.0,78.0,1,2,6.6,0.6,6.0,2
54.0,0,154.0,85.13,29.75,0,29.0,116.0,1,0,6.0,1.0,3.0,0
34.0,0,165.54,78.0,24.09,1,94.0,61.0,2,0,11.3,1.2,2.0,2
19.0,0,172.0,68.0,27.93,2,109.0,95.0,0,0,6.0,2.0,3.62,0
19.0,0,165.0,96.0,25.88,2,45.0,80.0,0,1,5.5,2.5,6.0,2
45.0,1,152.0,57.0,29.38,0,23.0,93.0,2,2,7.0,0.7,6.0,2
40.0,0,175.0,72.0,19.33,2,109.0,98.0,2,1,5.8,1.84,1.0,1
54.0,0,167.0,84.0,42.57,2,72.2,78.0,0,2,7.5,1.4,4.0,2
49.0,0,178.0,102.0,23.38,2,21.0,97.0,1,2,6.6,1.0,5.0,1
50.0,0,172.0,85.13,23.88,0,85.0,82.0,2,0,6.6,1.9,4.0,2
18.0,0,165.54,54.0,34.36,2,72.2,75.0,2,2,4.5,1.7,4.0,2
36.0,0,163.0,65.0,21.51,2,76.0,65.0,1,2,7.4,1.3,5.0,2
19.0,0,164.0,66.0,23.64,0,42.0,85.0,2,0,7.4,1.8,6.0,2
61.0,0,166.0,81.0,26.91,2,42.0,81.0,2,2,6.6,1.4,6.0,0
43.0,1,150.0,101.0,42.57,1,72.2,83.0,2,2,5.9,1.4,1.0,2
49.0,0,174.0,69.0,25.38,2,164.5,116.0,2,1,5.5,1.2,3.62,2
23.0,0,170.0,115.0,30.77,2,44.0,80.0,0,2,6.6,1.9,2.0,2
85.0,0,166.0,50.0,32.63,1,72.2,89.0,2,1,5.3,1.6,5.0,2
21.0,0,172.0,107.0,23.62,2,56.0,70.0,0,1,6.5,1.0,5.0,2
28.0,0,165.54,93.0,24.98,1,68.0,68.0,2,2,8.2,0.5,3.0,2
34.0,0,165.54,55.0,24.38,1,96.0,71.0,2,1,5.4,0.9,3.0,2
55.0,0,166.0,99.0,32.24,2,34.0,85.0,2,2,4.8,0.6,3.0,0
41.77,1,175.0,150.5,19.23,2,47.0,80.0,2,2,5.4,1.6,1.0,1
22.0,0,163.0,63.0,27.55,0,86.0,62.0,2,2,4.5,1.1,2.0,2
51.0,0,178.0,54.0,29.71,1,106.0,92.0,1,2,8.6,1.6,2.0,2
23.0,0,169.0,85.13,27.83,0,23.0,74.0,2,2,8.4,1.3,6.0,2
39.0,0,179.0,89.0,25.7,1,66.0,64.0,1,0,6.6,1.8,3.62,2
28.0,0,168.0,83.0,27.41,2,69.0,83.0,1,2,5.2,2.3,2.0,2
33.0,0,170.0,94.0,21.76,2,79.0,70.0,0,2,8.5,1.7,3.0,0
50.0,0,156.0,76.0,25.61,2,81.0,92.0,2,0,4.0,0.7,9.5,0
41.77,1,173.0,93.0,26.78,2,86.0,82.0,2,0,7.0,0.5,4.0,2
23.0,0,162.0,82.0,33.37,2,91.0,69.0,2,1,8.6,1.84,6.0,2
33.0,0,167.0,82.0,42.57,2,62.0,87.0,1,1,11.3,1.6,1.0,1
46.0,0,172.0,93.0,32.82,2,108.0,98.0,2,2,4.0,0.6,2.0,2
20.0,1,179.0,69.0,29.13,2,72.2,76.0,0,2,5.1,1.3,3.62,2
37.0,1,163.0,85.0,18.84,2,71.0,85.0,0,2,8.6,2.7,5.0,2
53.0,0,150.0,56.0,30.46,1,95.0,84.0,1,1,6.6,0.7,3.0,2
36.0,0,165.54,81.0,19.09,2,88.0,95.0,1,2,6.0,2.9,1.0,2
43.0,0,157.0,116.0,34.96,2,116.0,71.0,0,0,7.9,2.6,1.0,2
41.77,0,167.0,88.0,32.9,1,65.0,62.0,2,1,8.2,2.6,3.62,2
36.0,1,165.54,85.13,23.41,2,44.0,88.0,2,0,6.4,2.7,5.0,2
37.0,0,150.0,119.0,22.75,2,44.0,83.0,1,2,5.2,0.7,3.0,2
49.0,0,178.0,103.0,24.79,1,164.5,78.0,2,1,7.0,0.9,3.0,2
41.77,0,171.0,85.13,24.38,0,80.0,72.0,2,2,5.3,0.8,3.0,1
58.0,0,166.0,85.13,24.64,1,34.0,75.0,2,2,5.3,0.8,3.0,2
50.0,0,168.0,94.0,23.75,2,109.0,99.0,1,1,8.0,1.3,2.0,2
57.0,0,193.0,110.0,28.75,2,93.0,86.0,2,1,4.8,2.6,6.0,2
56.0,0,155.0,119.0,21.21,1,107.0,116.0,2,2,4.0,1.1,6.0,0
35.0,1,152.0,85.13,32.46,2,54.0,69.0,2,1,5.7,1.84,6.0,2
57.0,0,173.0,100.0,31.9,2,48.0,80.0,2,1,6.5,2.2,2.0,2
18.0,0,154.0,105.0,26.36,0,57.0,80.0,2,1,7.5,0.7,5.0,2
28.0,0,151.0,76.0,32.57,2,88.0,77.0,2,1,7.9,1.4,4.0,1
45.0,0,169.0,87.0,22.58,2,43.0,91.0,2,2,7.3,1.2,2.0,1
42.0,1,174.0,111.0,18.79,0,38.0,76.0,2,0,7.1,2.6,3.0,0
40.0,1,153.0,67.0,27.55,2,65.0,80.0,2,2,6.6,1.8,6.0,0
48.0,0,159.0,113.0,26.06,2,68.0,79.0,2,0,5.4,2.1,6.0,2
41.77,0,159.0,79.0,27.86,1,63.0,69.0,2,2,5.9,0.8,5.0,2
59.0,1,165.54,98.0,33.34,2,92.0,68.0,2,2,7.1,2.8,3.0,2
52.0,0,170.0,90.0,34.5,2,45.0,98.0,0,0,4.3,1.3,2.0,2
24.0,0,160.0,62.0,28.97,2,44.0,84.0,1,2,5.5,2.3,6.0,2
33.0,0,176.0,83.0,31.11,0,54.0,84.0,2,2,6.0,2.9,5.0,2
43.0,1,165.0,74.0,19.88,2,55.0,83.0,2,1,6.7,1.8,3.62,2
19.0,0,175.0,115.0,21.15,0,33.0,65.0,2,1,6.4,1.8,6.0,2
18.0,0,178.0,67.0,30.6,2,75.0,89.0,2,2,7.6,0.8,4.0,2
29.0,0,178.0,54.0,25.62,2,25.0,69.0,2,2,6.4,1.5,1.0,2
22.0,0,179.0,68.0,25.86,2,51.0,98.0,2,2,8.5,2.6,1.0,2
54.0,1,166.0,91.0,23.59,0,45.0,90.0,2,0,5.9,0.8,6.0,2
49.0,0,165.0,85.13,28.52,2,34.0,77.0,2,0,6.6,2.8,3.0,2
26.0,1,156.0,81.0,21.56,2,68.0,92.0,1,2,4.0,2.2,6.0,2
58.0,1,165.0,70.0,27.55,2,114.0,78.0,0,2,5.6,1.6,1.0,0
52.0,0,152.0,59.0,21.37,0,75.0,82.0,0,2,8.3,1.9,6.0,1
36.0,0,175.0,86.0,19.55,2,56.0,64.0,1,2,5.7,0.9,6.0,0
33.0,0,165.0,98.0,23.95,1,72.0,85.0,2,2,5.3,1.0,4.0,0
20.0,0,157.0,62.0,22.31,2,77.0,88.0,2,2,6.7,1.84,6.0,1
37.0,0,179.0,104.0,33.17,2,102.0,83.0,1,2,6.6,1.5,4.0,2
41.0,0,161.0,85.13,19.41,2,97.0,65.0,2,1,6.7,2.8,3.62,2
50.0,1,152.0,58.0,21.41,1,55.0,98.0,2,2,5.5,1.4,4.0,2
41.0,0,166.0,93.0,27.55,0,30.0,63.0,2,0,5.9,1.8,1.0,1
28.0,0,170.0,95.0,26.44,2,46.0,85.0,0,2,8.0,0.9,3.0,2
25.0,1,167.0,57.0,19.26,0,21.0,74.0,0,2,7.3,2.3,6.0,0
53.0,1,160.0,86.0,18.62,2,41.0,72.0,2,1,6.2,1.84,1.0,2
55.0,1,153.0,68.0,34.8,2,85.0,99.0,2,2,6.9,1.6,4.0,0
57.0,1,165.54,112.0,29.37,2,103.0,81.0,2,2,7.8,2.9,4.0,2
37.0,1,166.0,95.0,24.53,2,36.0,72.0,2,2,7.7,1.84,5.0,2
52.0,1,158.0,75.0,26.26,2,23.0,98.0,1,2,4.9,2.1,2.0,2
42.0,0,155.0,95.0,22.9,2,33.0,76.0,1,1,5.5,2.8,6.0,0
52.0,1,165.54,95.0,24.19,2,26.0,95.0,2,2,5.7,1.9,2.0,2
42.0,0,176.0,85.13,29.21,2,98.0,98.0,2,0,4.9,2.6,3.0,0
46.0,0,169.0,112.0,33.07,2,113.0,84.0,1,2,4.1,1.5,1.0,1
35.0,0,174.0,52.0,21.54,1,72.2,93.0,2,2,4.9,0.7,2.0,2
63.0,0,151.0,77.0,32.37,0,85.0,80.0,0,1,8.0,3.0,3.0,1
35.0,1,158.0,85.13,20.51,2,38.0,84.0,2,1,6.7,0.9,4.0,2
19.0,0,177.0,67.0,22.05,2,20.0,84.0,1,2,5.7,1.1,2.0,0
52.0,1,170.0,84.0,19.11,1,50.0,81.0,0,0,7.0,0.9,1.0,2
33.0,0,178.0,96.0,20.82,2,23.0,82.0,0,2,7.7,1.3,5.0,1
58.0,0,155.0,54.0,33.64,1,110.0,84.0,2,0,5.8,1.2,5.0,1
53.0,0,152.0,108.0,27.55,0,77.0,73.0,0,0,6.3,1.84,2.0,2
