User_ID,Age,Gender,Height_cm,Weight_kg,BMI,Workout_Type,Workout_Duration_min,Heart_Rate_avg,Intensity_Level,Diet_Type,Sleep_Hours,Hydration_Liters,Workout_Frequency,Calories_Burned
U00019,41.0,Female,171.0,102.0,,Strength,99.0,76.0,High,Invalid,6.4,2.4,2.0,N/A
Unknown,61.0,Female,164.0,102.0,33.97,Strength,36.0,77.0,Other,Vegan,8.7,3.0,5.0,Medium
U00021,47.0,Male,177.0,,18.57,Invalid,84.0,62.0,Medium,Invalid,7.3,2.4,,N/A
Unknown,55.0,Female,159.0,51.0,33.11,Yoga,40.0,65.0,High,Other,5.5,1.4,,Invalid
,19.0,Male,158.0,107.0,,Yoga,73.0,72.0,Medium,Invalid,4.9,2.0,1.0,Low
,,Invalid,160.0,68.0,34.23,Unknown,68.0,90.0,High,Other,6.1,10.0,2.0,Medium
Unknown,50.0,Male,165.0,,23.15,Strength,41.0,76.0,Low,Vegetarian,6.3,2.9,1.0,High
U00026,29.0,Male,159.0,61.0,24.8,Cardio,88.0,80.0,High,,7.0,2.8,6.0,Low
Invalid,39.0,Other,166.0,75.0,20.01,Yoga,83.0,75.0,Low,Invalid,5.3,1.9,1.0,Other
U00028,61.0,Unknown,168.0,76.0,20.35,Other,55.0,76.0,Low,Mixed,,2.5,6.0,Medium
Invalid,42.0,Unknown,151.0,78.0,30.49,Yoga,40.0,91.0,High,N/A,4.5,2.8,2.0,
U00030,44.0,Invalid,173.0,64.0,34.08,Unknown,75.0,60.0,Other,Mixed,6.8,1.1,,Medium
N/A,59.0,N/A,172.0,95.0,28.58,Strength,92.0,97.0,Low,Vegan,7.1,1.9,3.0,Medium
U00032,45.0,N/A,151.0,50.0,,Strength,110.0,67.0,,Mixed,5.0,,5.0,Invalid
U00033,33.0,Male,155.0,109.0,31.07,Strength,67.0,60.0,Medium,N/A,8.1,2.4,6.0,Other
U00034,32.0,Female,168.0,106.0,22.84,Yoga,95.0,61.0,Low,Vegetarian,7.1,1.4,2.0,High
Other,64.0,Unknown,157.0,52.0,19.25,Unknown,37.0,96.0,Invalid,,7.2,2.3,6.0,Unknown
U00036,61.0,Female,175.0,67.0,18.53,Invalid,118.0,83.0,High,Mixed,6.5,1.5,3.0,N/A
Unknown,20.0,N/A,178.0,101.0,,N/A,34.0,86.0,High,Invalid,8.5,0.8,2.0,High
Invalid,54.0,Female,250.0,109.0,22.48,Invalid,63.0,79.0,Other,Vegetarian,7.5,0.8,4.0,Medium
U00039,24.0,Male,175.0,180.0,19.53,Unknown,113.0,80.0,Low,Mixed,5.9,0.8,4.0,Low
Invalid,38.0,Female,163.0,109.0,21.46,Other,64.0,96.0,Invalid,Invalid,,0.6,5.0,High
U00041,26.0,Male,174.0,75.0,20.55,Cardio,116.0,94.0,Invalid,Vegetarian,4.4,1.8,2.0,N/A
Other,56.0,Male,,68.0,33.6,Cardio,55.0,97.0,Medium,Mixed,4.8,2.2,3.0,Low
N/A,35.0,Female,150.0,71.0,20.81,N/A,59.0,74.0,Low,Vegetarian,9.0,0.8,5.0,High
Other,21.0,N/A,170.0,82.0,27.37,N/A,70.0,89.0,Low,Mixed,6.0,2.0,4.0,Medium
U00045,42.0,Male,152.0,87.0,28.29,Unknown,49.0,63.0,Unknown,Unknown,8.5,2.0,4.0,High
N/A,31.0,Female,171.0,84.0,27.47,Other,45.0,98.0,Medium,Invalid,4.9,0.9,4.0,
,26.0,Female,175.0,116.0,20.13,,104.0,74.0,Other,,6.1,1.5,5.0,Low
U00048,43.0,Female,167.0,59.0,23.76,Strength,50.0,82.0,N/A,Mixed,8.8,2.4,3.0,N/A
U00049,19.0,N/A,158.0,64.0,19.35,,75.0,74.0,Low,N/A,4.5,0.5,4.0,Medium
U00050,37.0,Male,155.0,60.0,25.03,Cardio,80.0,85.0,High,Unknown,7.0,0.9,5.0,Invalid
Invalid,45.0,Invalid,172.0,73.0,21.61,Yoga,36.0,71.0,Low,,8.6,3.0,5.0,High
U00052,64.0,Unknown,170.0,53.0,27.77,Invalid,100.0,77.0,,Invalid,8.7,2.3,1.0,Low
Unknown,24.0,N/A,174.0,62.0,29.93,Strength,117.0,65.0,N/A,N/A,8.2,1.7,1.0,Invalid
U00054,61.0,,150.0,106.0,27.28,Yoga,43.0,77.0,Medium,N/A,8.3,2.1,6.0,N/A
U00055,25.0,Male,170.0,86.0,25.66,Cardio,116.0,83.0,,Mixed,,2.6,3.0,Medium
U00056,64.0,Male,176.0,,24.89,Invalid,23.0,97.0,Other,Invalid,5.1,2.6,4.0,Unknown
Invalid,99.0,Male,159.0,50.0,32.39,Cardio,28.0,87.0,High,Vegan,7.7,1.3,1.0,Low
U00058,31.0,Unknown,176.0,109.0,22.12,Cardio,21.0,74.0,High,Invalid,8.9,1.7,3.0,Invalid
U00059,34.0,Male,155.0,61.0,30.61,Invalid,54.0,78.0,Other,Vegetarian,6.6,2.1,1.0,Low
,53.0,Other,172.0,70.0,31.0,Strength,57.0,64.0,Unknown,N/A,15.0,0.7,4.0,High
Invalid,,Unknown,161.0,60.0,25.42,Other,64.0,63.0,N/A,Vegan,6.9,2.9,5.0,N/A
Invalid,21.0,Other,153.0,93.0,23.41,Unknown,34.0,76.0,Medium,Mixed,7.5,1.6,4.0,Medium
U00063,19.0,Male,177.0,107.0,26.26,Unknown,,69.0,N/A,Mixed,5.0,1.4,1.0,
U00064,23.0,Invalid,162.0,93.0,20.04,Cardio,,71.0,High,Unknown,7.6,2.8,4.0,Medium
U00065,59.0,Female,166.0,83.0,19.26,Cardio,50.0,64.0,Invalid,Invalid,6.9,0.8,5.0,Medium
Unknown,21.0,Male,176.0,74.0,20.34,Cardio,71.0,66.0,Medium,Mixed,7.1,0.6,2.0,Other
U00067,46.0,Female,157.0,53.0,21.59,Unknown,60.0,82.0,N/A,Unknown,5.5,2.2,5.0,Medium
U00068,35.0,Male,,113.0,26.82,Yoga,76.0,61.0,Medium,Mixed,4.8,1.5,1.0,N/A
Unknown,43.0,Other,169.0,65.0,32.51,Cardio,61.0,89.0,Low,Vegan,7.1,2.4,5.0,Invalid
Invalid,61.0,Female,152.0,59.0,22.39,Invalid,72.0,96.0,N/A,Vegetarian,6.9,0.7,,Low
U00071,99.0,Other,161.0,115.0,33.93,Strength,75.0,64.0,High,Vegetarian,5.7,1.5,3.0,Low
Other,27.0,Other,156.0,84.0,,N/A,106.0,79.0,Unknown,Mixed,5.5,1.1,4.0,N/A
Unknown,53.0,N/A,161.0,55.0,34.32,Yoga,95.0,85.0,Invalid,Vegan,5.7,2.3,,Low
Other,31.0,N/A,151.0,68.0,32.32,Unknown,91.0,98.0,,Vegetarian,6.4,1.1,2.0,Medium
U00075,48.0,Other,173.0,108.0,24.5,Cardio,72.0,65.0,Low,Vegetarian,8.9,1.6,2.0,High
U00076,,Male,163.0,102.0,19.7,N/A,104.0,88.0,Invalid,Mixed,7.8,2.5,4.0,Invalid
U00077,25.0,Male,171.0,57.0,27.89,Other,104.0,69.0,Low,Mixed,8.3,2.8,4.0,N/A
N/A,31.0,N/A,172.0,59.0,27.72,Cardio,51.0,75.0,High,N/A,6.5,2.3,3.0,High
U00079,40.0,Female,179.0,116.0,32.52,Yoga,100.0,93.0,Invalid,Vegetarian,6.6,1.6,5.0,Low
Unknown,57.0,Female,250.0,87.0,34.93,Invalid,,,Medium,Vegan,5.0,1.9,2.0,Medium
Invalid,38.0,Female,158.0,78.0,26.88,Unknown,56.0,95.0,Medium,Vegan,7.6,2.2,1.0,Invalid
N/A,33.0,Female,170.0,180.0,24.2,Strength,107.0,64.0,High,Mixed,6.1,2.7,4.0,Medium
U00083,,N/A,160.0,72.0,21.57,Strength,,92.0,Other,Vegan,7.7,2.7,4.0,Medium
N/A,35.0,Male,154.0,95.0,18.58,Strength,,78.0,Other,Vegan,,2.8,6.0,Low
U00085,64.0,Unknown,152.0,77.0,26.9,Invalid,30.0,91.0,High,Vegetarian,4.5,2.5,6.0,Medium
,41.0,Male,176.0,75.0,27.67,Yoga,73.0,82.0,Invalid,,4.9,0.9,6.0,Low
Other,43.0,Male,166.0,59.0,32.11,Strength,79.0,62.0,N/A,Vegetarian,8.1,2.4,2.0,Low
U00088,42.0,Male,151.0,,26.83,,,,High,Vegetarian,5.3,2.5,6.0,Low
U00089,62.0,Female,173.0,53.0,,Strength,109.0,95.0,Medium,Vegan,5.3,2.7,4.0,Low
U00090,58.0,Female,150.0,104.0,28.86,Invalid,89.0,87.0,,Other,8.6,2.8,2.0,Unknown
U00091,46.0,Unknown,156.0,,32.37,Strength,,98.0,High,Vegetarian,7.3,1.8,1.0,Unknown
N/A,32.0,Unknown,179.0,116.0,20.95,Strength,106.0,64.0,Unknown,N/A,4.6,2.1,,High
U00093,62.0,Female,163.0,56.0,32.61,Yoga,61.0,72.0,High,Invalid,4.7,0.5,2.0,Unknown
U00094,18.0,Female,154.0,104.0,29.64,Yoga,56.0,70.0,Other,,5.4,1.9,4.0,Invalid
,42.0,Male,168.0,80.0,21.31,Cardio,111.0,81.0,Low,Other,7.0,1.7,3.0,Low
N/A,24.0,Invalid,177.0,68.0,21.63,Yoga,99.0,,High,,,2.9,3.0,Medium
U00097,26.0,Female,177.0,77.0,33.79,Yoga,95.0,71.0,High,N/A,5.4,2.8,5.0,High
U00098,99.0,Invalid,160.0,77.0,19.03,Yoga,77.0,80.0,High,Vegan,8.4,2.5,3.0,N/A
U00099,18.0,,172.0,68.0,26.13,,104.0,78.0,Other,Vegetarian,4.5,0.6,6.0,Unknown
U00100,61.0,Invalid,174.0,69.0,23.67,Cardio,78.0,64.0,Medium,Vegetarian,5.0,1.5,,High
Invalid,25.0,Male,151.0,62.0,29.47,Cardio,43.0,83.0,Other,N/A,8.9,2.2,3.0,Medium
N/A,41.0,N/A,157.0,92.0,32.35,Invalid,47.0,89.0,Low,Invalid,4.7,0.6,5.0,Invalid
U00103,28.0,Other,158.0,60.0,24.45,,56.0,67.0,Other,Vegan,8.4,1.1,1.0,Low
U00104,34.0,Male,176.0,97.0,25.54,Cardio,40.0,61.0,Medium,Mixed,7.5,2.7,2.0,High
U00105,25.0,Unknown,152.0,64.0,34.7,Unknown,52.0,93.0,N/A,Invalid,4.4,0.8,3.0,High
Other,52.0,Female,151.0,66.0,31.43,Yoga,21.0,82.0,Low,,6.4,,2.0,
U00107,52.0,N/A,156.0,103.0,33.3,Unknown,102.0,62.0,Other,Other,6.6,2.0,2.0,N/A
U00108,50.0,Invalid,154.0,99.0,25.74,Cardio,47.0,83.0,Unknown,Mixed,8.7,2.9,6.0,Medium
U00109,22.0,Invalid,170.0,77.0,22.36,Cardio,,77.0,Low,Unknown,6.1,2.6,6.0,Medium
U00110,59.0,Invalid,175.0,53.0,25.3,Yoga,,96.0,Unknown,Mixed,6.2,2.9,1.0,Medium
U00111,56.0,Other,154.0,71.0,30.32,Yoga,47.0,90.0,Invalid,Vegetarian,4.6,2.4,5.0,Low
Other,58.0,Female,169.0,88.0,20.31,Unknown,69.0,73.0,High,Mixed,7.2,,4.0,Unknown
Other,45.0,Unknown,162.0,,22.96,Cardio,54.0,,Other,Unknown,5.1,2.9,4.0,
U00114,24.0,N/A,170.0,93.0,19.27,Cardio,115.0,73.0,Other,Vegetarian,4.4,1.6,4.0,Invalid
N/A,26.0,Invalid,178.0,91.0,25.63,Yoga,47.0,64.0,Medium,Invalid,9.0,1.4,5.0,Low
Unknown,25.0,Female,169.0,89.0,32.15,Cardio,28.0,90.0,High,Vegetarian,5.3,1.6,6.0,Low
U00117,29.0,Female,178.0,61.0,18.91,Yoga,43.0,90.0,High,Unknown,4.7,2.5,,High
Unknown,99.0,Male,155.0,51.0,29.64,Strength,,89.0,Other,Vegetarian,7.5,2.8,5.0,Medium
U00119,50.0,Invalid,169.0,77.0,33.89,Unknown,23.0,95.0,Medium,Mixed,8.1,1.4,3.0,Other
U00120,40.0,Unknown,167.0,116.0,22.41,Strength,,60.0,Low,Unknown,4.3,1.7,2.0,Invalid
U00121,41.0,Female,174.0,59.0,29.94,Yoga,60.0,62.0,High,Vegan,4.5,2.7,5.0,Invalid
U00122,54.0,Male,151.0,106.0,34.59,Invalid,86.0,79.0,Invalid,Mixed,,0.6,5.0,Other
N/A,52.0,Female,174.0,86.0,34.38,Strength,67.0,80.0,Unknown,N/A,4.2,2.5,3.0,High
U00124,61.0,N/A,175.0,113.0,22.38,Cardio,105.0,,Unknown,Vegetarian,7.3,1.6,2.0,Invalid
Invalid,57.0,Female,155.0,89.0,20.16,Invalid,77.0,89.0,Invalid,Mixed,15.0,1.4,6.0,High
Other,,Male,158.0,109.0,20.95,Cardio,58.0,64.0,,Vegan,7.3,1.6,6.0,Medium
U00127,44.0,Female,174.0,97.0,30.08,Unknown,44.0,69.0,N/A,Other,6.5,,4.0,Medium
Other,52.0,Female,152.0,68.0,30.48,Yoga,79.0,83.0,High,Vegetarian,8.1,2.4,1.0,Low
Unknown,18.0,N/A,150.0,82.0,29.62,Cardio,105.0,98.0,Unknown,Vegetarian,6.7,2.8,5.0,High
U00130,52.0,N/A,150.0,93.0,24.05,Cardio,66.0,65.0,High,Unknown,8.6,1.7,5.0,Low
U00131,54.0,Male,168.0,,21.3,Cardio,117.0,69.0,High,Unknown,6.4,2.6,1.0,High
Unknown,64.0,Female,154.0,85.0,28.08,Yoga,80.0,69.0,Low,Vegetarian,8.0,2.3,5.0,High
Invalid,31.0,,162.0,70.0,26.48,Cardio,103.0,84.0,Other,Mixed,6.0,1.3,6.0,Low
Invalid,20.0,Unknown,168.0,51.0,30.53,Other,119.0,73.0,Medium,Invalid,6.2,,5.0,High
U00135,18.0,Unknown,,80.0,25.78,Cardio,46.0,98.0,N/A,N/A,,2.2,5.0,
U00136,22.0,Other,,79.0,24.09,Yoga,115.0,,N/A,N/A,4.5,0.6,1.0,High
N/A,43.0,Invalid,174.0,93.0,23.34,Strength,61.0,70.0,Unknown,Unknown,6.8,1.5,6.0,Medium
N/A,31.0,Male,,,21.99,Unknown,71.0,98.0,Low,Vegan,7.6,3.0,3.0,Medium
Unknown,56.0,Male,168.0,100.0,22.88,Strength,112.0,70.0,N/A,Vegetarian,7.8,2.1,3.0,Invalid
Other,44.0,N/A,152.0,98.0,20.06,Invalid,67.0,75.0,High,Unknown,7.0,1.3,1.0,Low
U00141,26.0,N/A,161.0,73.0,24.22,Cardio,51.0,92.0,Medium,Mixed,6.2,,,Medium
N/A,32.0,Female,179.0,73.0,19.1,Unknown,43.0,91.0,High,Mixed,5.3,1.0,4.0,N/A
Unknown,,Male,154.0,109.0,21.58,Cardio,22.0,69.0,Low,Vegan,8.5,1.5,4.0,High
U00144,,Other,151.0,60.0,30.82,Yoga,,74.0,Medium,N/A,5.8,1.0,6.0,Medium
Unknown,59.0,Invalid,171.0,62.0,23.87,Cardio,92.0,75.0,High,Mixed,8.0,0.8,1.0,N/A
U00146,30.0,Male,156.0,113.0,,Strength,59.0,86.0,Medium,,4.2,1.4,2.0,Low
U00147,49.0,Female,162.0,69.0,30.33,Strength,,91.0,Low,Mixed,5.2,2.0,6.0,Low
U00148,56.0,N/A,174.0,77.0,28.09,Yoga,26.0,65.0,Medium,N/A,5.7,0.9,5.0,Invalid
U00149,49.0,Female,164.0,51.0,34.32,Unknown,100.0,95.0,Unknown,N/A,7.4,0.6,2.0,Unknown
U00150,21.0,Male,171.0,92.0,18.85,Other,56.0,67.0,Invalid,Invalid,5.6,0.6,5.0,Invalid
U00151,47.0,N/A,152.0,57.0,30.69,Invalid,26.0,84.0,Low,Other,,1.2,6.0,Low
U00152,54.0,N/A,177.0,62.0,34.32,Cardio,113.0,66.0,Unknown,Vegan,4.9,1.0,3.0,Medium
Invalid,40.0,Male,170.0,84.0,32.73,Invalid,96.0,76.0,Medium,Unknown,5.3,1.8,3.0,High
Other,,Male,169.0,72.0,21.27,Cardio,101.0,89.0,Medium,Mixed,4.9,1.6,,Unknown
U00155,62.0,Female,154.0,95.0,23.89,Cardio,300.0,61.0,High,Other,,1.3,2.0,High
U00156,32.0,Unknown,173.0,64.0,21.35,N/A,41.0,,Medium,,7.8,2.6,1.0,N/A
U00157,60.0,Male,157.0,51.0,28.42,Invalid,97.0,63.0,High,N/A,6.1,1.8,5.0,High
Unknown,46.0,Male,171.0,110.0,30.25,Yoga,,85.0,Low,Mixed,6.0,0.7,3.0,N/A
Unknown,53.0,Female,,113.0,23.73,N/A,118.0,73.0,,Invalid,8.8,1.2,6.0,Unknown
Other,30.0,Female,157.0,101.0,27.4,Strength,36.0,67.0,Medium,Vegan,6.2,2.9,5.0,N/A
U00161,49.0,Other,173.0,85.0,29.9,Cardio,38.0,64.0,Low,Mixed,,2.9,1.0,Low
Unknown,24.0,Other,167.0,116.0,25.45,Yoga,114.0,64.0,Low,N/A,5.5,1.1,5.0,Unknown
U00163,39.0,Other,169.0,118.0,32.59,Cardio,58.0,64.0,High,,6.0,0.9,4.0,Medium
Unknown,45.0,Male,177.0,116.0,31.23,Other,55.0,86.0,Medium,Mixed,6.0,1.7,1.0,High
Invalid,19.0,Male,165.0,96.0,19.57,Cardio,34.0,64.0,High,Invalid,6.7,1.7,1.0,Low
U00166,59.0,Other,167.0,51.0,28.75,Cardio,82.0,,,Mixed,6.9,1.5,5.0,Medium
Unknown,62.0,N/A,169.0,93.0,22.38,Strength,48.0,97.0,Other,,5.2,1.8,5.0,Low
N/A,23.0,Male,161.0,113.0,27.7,Strength,79.0,89.0,Invalid,Mixed,8.0,1.1,3.0,Medium
N/A,45.0,Female,162.0,77.0,34.29,Yoga,75.0,60.0,Unknown,Other,6.5,0.8,,N/A
,45.0,,162.0,103.0,33.0,Invalid,59.0,67.0,Low,Invalid,,1.9,1.0,High
U00171,61.0,Unknown,159.0,116.0,25.17,Other,35.0,72.0,Invalid,,7.0,2.8,6.0,Medium
U00172,61.0,Male,156.0,85.0,,Cardio,52.0,79.0,High,Vegan,8.0,0.8,5.0,N/A
Other,37.0,Male,174.0,112.0,22.37,Cardio,108.0,65.0,Other,Mixed,5.3,2.3,6.0,High
,47.0,Female,163.0,74.0,,,35.0,67.0,Other,Mixed,4.2,1.6,6.0,High
U00175,28.0,Male,179.0,97.0,20.39,Strength,49.0,89.0,High,Other,8.0,1.2,,Medium
U00176,,Female,173.0,88.0,27.56,Yoga,117.0,,Other,Unknown,8.9,2.6,2.0,High
U00177,42.0,N/A,165.0,96.0,18.52,Cardio,85.0,74.0,Other,Mixed,4.4,1.6,6.0,Medium
U00178,56.0,Unknown,164.0,70.0,23.84,Cardio,63.0,69.0,Low,Vegan,8.7,2.0,4.0,Invalid
Invalid,50.0,Female,161.0,79.0,22.13,Yoga,57.0,92.0,Medium,Vegetarian,5.8,1.6,,High
Unknown,18.0,Female,158.0,80.0,34.53,Yoga,70.0,68.0,N/A,Vegetarian,8.7,0.7,1.0,High
U00181,44.0,Female,157.0,75.0,30.5,Cardio,79.0,,High,Unknown,7.2,2.0,3.0,N/A
U00182,30.0,Male,167.0,71.0,24.27,,37.0,,Low,Other,8.5,1.5,4.0,Invalid
N/A,58.0,Other,172.0,70.0,20.03,Unknown,,73.0,Unknown,Vegan,,0.7,5.0,Other
U00184,20.0,Other,,50.0,27.03,Cardio,59.0,91.0,Low,Unknown,4.1,2.0,6.0,High
U00185,56.0,Female,162.0,86.0,22.02,Unknown,25.0,96.0,Unknown,Other,4.3,0.5,5.0,Medium
U00186,23.0,Female,177.0,95.0,27.35,Yoga,95.0,65.0,High,Unknown,6.6,1.0,2.0,Unknown
Unknown,25.0,Female,176.0,58.0,32.28,Strength,300.0,64.0,Other,Vegetarian,4.6,2.5,5.0,Unknown
Other,44.0,N/A,167.0,66.0,28.66,Yoga,31.0,63.0,Unknown,Vegetarian,6.3,0.6,4.0,Low
N/A,26.0,Female,164.0,96.0,28.96,Unknown,92.0,75.0,Low,Mixed,8.8,,3.0,N/A
Unknown,54.0,Unknown,153.0,108.0,27.43,N/A,41.0,69.0,Low,Mixed,5.5,2.9,2.0,Medium
Other,50.0,Male,166.0,103.0,33.8,Yoga,,90.0,High,,6.4,0.9,4.0,Low
Unknown,,Female,154.0,61.0,33.88,Strength,69.0,90.0,Unknown,Invalid,5.9,1.5,3.0,Low
Other,61.0,Male,171.0,113.0,26.96,Invalid,99.0,73.0,Low,Unknown,7.1,1.9,4.0,Medium
Invalid,41.0,N/A,165.0,55.0,23.55,Invalid,23.0,72.0,Low,Mixed,5.0,1.6,,High
Unknown,32.0,N/A,158.0,102.0,26.08,Yoga,69.0,,Medium,Other,5.3,2.1,4.0,High
N/A,49.0,Male,159.0,65.0,21.58,N/A,22.0,85.0,Other,Vegan,8.3,1.5,2.0,Medium
U00197,,Unknown,173.0,54.0,29.0,Yoga,35.0,83.0,Medium,Invalid,8.1,0.9,4.0,Low
U00198,41.0,Female,,,26.75,Invalid,33.0,68.0,Invalid,Other,7.9,0.7,1.0,Invalid
U00199,58.0,,166.0,63.0,99.0,Strength,83.0,,N/A,Mixed,7.9,2.4,5.0,Low
U00200,29.0,Female,167.0,93.0,21.76,Unknown,60.0,74.0,Low,Vegan,6.3,1.1,4.0,N/A
Unknown,56.0,Female,156.0,112.0,26.41,Yoga,87.0,83.0,High,Mixed,7.6,2.6,3.0,Low
U00202,19.0,Male,153.0,101.0,33.15,Strength,78.0,90.0,Medium,Mixed,5.9,2.4,5.0,Medium
U00203,20.0,Female,175.0,180.0,27.85,Strength,21.0,78.0,Low,Vegetarian,,0.6,6.0,Medium
U00204,54.0,N/A,154.0,,29.75,Cardio,29.0,250.0,Low,Mixed,6.0,1.0,3.0,High
N/A,34.0,Female,,78.0,24.09,Strength,94.0,61.0,Other,Mixed,15.0,1.2,2.0,Invalid
Unknown,19.0,Female,172.0,68.0,27.93,N/A,109.0,95.0,High,Mixed,6.0,2.0,,High
Other,19.0,Female,165.0,96.0,25.88,Yoga,45.0,,High,Vegan,5.5,2.5,6.0,Other
,45.0,Male,152.0,57.0,29.38,Cardio,23.0,93.0,Invalid,Other,7.0,0.7,6.0,N/A
N/A,40.0,Other,175.0,72.0,19.33,Other,109.0,98.0,Medium,Vegan,5.8,,1.0,Low
N/A,54.0,Female,167.0,84.0,99.0,Other,,78.0,High,Vegetarian,7.5,1.4,4.0,Invalid
U00211,49.0,N/A,178.0,102.0,23.38,Unknown,21.0,97.0,Low,,6.6,1.0,5.0,Low
Unknown,50.0,Female,172.0,,23.88,Cardio,85.0,82.0,Invalid,Mixed,,1.9,4.0,Medium
U00213,18.0,Unknown,,54.0,34.36,Unknown,,75.0,Unknown,Vegetarian,4.5,1.7,4.0,Medium
Invalid,36.0,Female,163.0,65.0,21.51,Other,76.0,65.0,Low,Unknown,7.4,1.3,5.0,Invalid
U00215,19.0,,164.0,66.0,23.64,Cardio,42.0,85.0,,Mixed,7.4,1.8,6.0,Invalid
,61.0,,166.0,81.0,26.91,Unknown,42.0,81.0,N/A,,,1.4,6.0,High
,43.0,Male,150.0,101.0,99.0,Strength,,83.0,,Vegetarian,5.9,1.4,1.0,Invalid
U00218,49.0,,174.0,69.0,25.38,Other,300.0,250.0,Invalid,Vegan,5.5,1.2,,Unknown
Unknown,23.0,Female,170.0,115.0,30.77,N/A,44.0,80.0,High,Vegetarian,,1.9,2.0,Medium
U00220,99.0,Female,166.0,50.0,32.63,Strength,,89.0,Invalid,Vegan,5.3,1.6,5.0,Invalid
N/A,21.0,Invalid,172.0,107.0,23.62,Yoga,56.0,70.0,High,Vegan,6.5,1.0,5.0,Medium
U00222,28.0,Invalid,,93.0,24.98,Strength,68.0,68.0,,Vegetarian,8.2,0.5,3.0,Medium
U00223,34.0,Unknown,,55.0,24.38,Strength,96.0,71.0,N/A,Vegan,5.4,0.9,3.0,Invalid
Other,55.0,Female,166.0,99.0,32.24,Unknown,34.0,85.0,Medium,Vegetarian,4.8,0.6,3.0,High
U00225,,Male,175.0,180.0,19.23,Unknown,47.0,,N/A,,5.4,1.6,1.0,Low
U00226,22.0,Other,163.0,63.0,,Cardio,86.0,62.0,Other,N/A,4.5,1.1,2.0,
U00227,51.0,Female,178.0,54.0,29.71,Strength,106.0,92.0,Low,Vegetarian,8.6,1.6,2.0,Medium
N/A,23.0,Invalid,169.0,,27.83,Cardio,23.0,74.0,N/A,Unknown,8.4,1.3,6.0,Unknown
Invalid,39.0,Invalid,179.0,89.0,25.7,Strength,66.0,64.0,Low,Mixed,,1.8,,Invalid
U00230,28.0,Female,168.0,83.0,27.41,Other,69.0,83.0,Low,Unknown,5.2,2.3,2.0,Other
U00231,33.0,N/A,170.0,94.0,21.76,,79.0,70.0,High,Vegetarian,8.5,1.7,3.0,High
Invalid,50.0,Other,156.0,76.0,25.61,Unknown,81.0,92.0,N/A,Mixed,4.0,0.7,15.0,High
U00233,,Male,173.0,93.0,26.78,Yoga,86.0,82.0,Invalid,Mixed,7.0,0.5,4.0,Invalid
U00234,23.0,Other,162.0,82.0,33.37,Invalid,91.0,69.0,Invalid,Vegan,8.6,,6.0,Medium
N/A,33.0,Invalid,167.0,82.0,99.0,Unknown,62.0,87.0,Low,Vegan,15.0,1.6,1.0,Low
Other,46.0,N/A,172.0,93.0,32.82,Yoga,108.0,98.0,Other,Invalid,4.0,0.6,2.0,Other
Invalid,20.0,Male,179.0,69.0,29.13,N/A,,76.0,High,Other,5.1,1.3,,N/A
Unknown,37.0,Male,163.0,85.0,18.84,Yoga,71.0,85.0,High,Invalid,8.6,2.7,5.0,Invalid
